size, addfirst(ms), addlast(ms), addrandpos(ms), removefirst(ms), removelast(ms), removerandpos(ms), getrandpos(ms)
696958,   0.00000000,   0.00000000,   0.00254346,   0.00000000,   0.00000005,   0.00110018,   0.00117627
134988,   0.00000000,   0.00000000,   0.00051083,   0.00000000,   0.00000005,   0.00023450,   0.00024113
223864,   0.00000000,   0.00000000,   0.00085474,   0.00000000,   0.00000000,   0.00033397,   0.00034966
625659,   0.00000000,   0.00000000,   0.00221799,   0.00000005,   0.00000000,   0.00104534,   0.00104360
75104,   0.00000000,   0.00000000,   0.00026567,   0.00000000,   0.00000000,   0.00008787,   0.00008789
979630,   0.00000000,   0.00000000,   0.00371126,   0.00000005,   0.00000000,   0.00113507,   0.00114937
931012,   0.00000000,   0.00000000,   0.00341954,   0.00000005,   0.00000005,   0.00143579,   0.00193806
993582,   0.00000005,   0.00000000,   0.00290903,   0.00000005,   0.00000000,   0.00136628,   0.00121148
356555,   0.00000000,   0.00000000,   0.00126672,   0.00000000,   0.00000000,   0.00053171,   0.00052814
269923,   0.00000000,   0.00000000,   0.00094835,   0.00000000,   0.00000000,   0.00041838,   0.00042058
565566,   0.00000000,   0.00000000,   0.00158284,   0.00000000,   0.00000000,   0.00080539,   0.00081646
311626,   0.00000000,   0.00000000,   0.00082950,   0.00000000,   0.00000000,   0.00053753,   0.00052199
318327,   0.00000000,   0.00000000,   0.00100697,   0.00000005,   0.00000000,   0.00054600,   0.00054899
916155,   0.00000000,   0.00000000,   0.00327731,   0.00000005,   0.00000000,   0.00154987,   0.00148430
338680,   0.00000000,   0.00000000,   0.00153283,   0.00000000,   0.00000000,   0.00044554,   0.00043258
907437,   0.00000000,   0.00000000,   0.00315765,   0.00000005,   0.00000000,   0.00125436,   0.00165932
844000,   0.00000000,   0.00000000,   0.00330599,   0.00000005,   0.00000000,   0.00218763,   0.00132916
909043,   0.00000000,   0.00000000,   0.00404573,   0.00000005,   0.00000000,   0.00135631,   0.00139439
840199,   0.00000000,   0.00000000,   0.00350280,   0.00000005,   0.00000000,   0.00135352,   0.00167346
39891,   0.00000000,   0.00000000,   0.00010250,   0.00000000,   0.00000000,   0.00005853,   0.00006072
282400,   0.00000000,   0.00000000,   0.00111761,   0.00000000,   0.00000000,   0.00028477,   0.00029941
218486,   0.00000000,   0.00000000,   0.00090980,   0.00000000,   0.00000000,   0.00023685,   0.00023485
263453,   0.00000000,   0.00000000,   0.00104247,   0.00000005,   0.00000020,   0.00026695,   0.00027491
846356,   0.00000000,   0.00000000,   0.00365103,   0.00000000,   0.00000000,   0.00157242,   0.00123616
492228,   0.00000000,   0.00000000,   0.00134567,   0.00000005,   0.00000000,   0.00067217,   0.00074379
11886,   0.00000000,   0.00000000,   0.00002282,   0.00000000,   0.00000000,   0.00001314,   0.00001356
721609,   0.00000000,   0.00000000,   0.00217245,   0.00000005,   0.00000000,   0.00128417,   0.00130568
340290,   0.00000000,   0.00000000,   0.00126890,   0.00000005,   0.00000000,   0.00055441,   0.00055057
952734,   0.00000000,   0.00000000,   0.00336162,   0.00000005,   0.00000000,   0.00117791,   0.00126749
980081,   0.00000000,   0.00000000,   0.00292478,   0.00000005,   0.00000000,   0.00124475,   0.00127626
507860,   0.00000000,   0.00000000,   0.00156257,   0.00000000,   0.00000000,   0.00063459,   0.00063404
672344,   0.00000000,   0.00000000,   0.00217696,   0.00000005,   0.00000000,   0.00076484,   0.00076651
537173,   0.00000000,   0.00000000,   0.00217800,   0.00000000,   0.00000000,   0.00103450,   0.00095738
222131,   0.00000000,   0.00000000,   0.00076719,   0.00000000,   0.00000000,   0.00032083,   0.00031725
